City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hithadhoo,MV,-0.6,73.0833,82.49,74,20,7.29,few clouds
80,Iquique,CL,-20.2208,-70.1431,75.24,74,7,5.95,clear sky
81,Lebu,CL,-37.6167,-73.65,64.29,70,12,17.09,few clouds
82,Namatanai,PG,-3.6667,152.4333,78.49,78,34,6.4,scattered clouds
83,Aklavik,CA,68.2191,-135.0107,-5.8,71,75,17.27,broken clouds
84,Beringovskiy,RU,63.05,179.3167,-0.42,88,4,10.6,clear sky
85,Saskylakh,RU,71.9167,114.0833,-22.45,99,99,2.98,overcast clouds
86,Bira,RU,49.0,132.4667,16.05,98,100,2.08,overcast clouds
87,Yaguajay,CU,22.3272,-79.2378,89.42,47,9,8.97,clear sky
88,Puerto Ayora,EC,-0.7393,-90.3518,85.96,84,33,8.99,scattered clouds
89,Nikolskoye,RU,59.7035,30.7861,33.8,96,93,3.18,overcast clouds
90,Ribeira Grande,PT,38.5167,-28.7,63.0,55,20,8.05,few clouds
91,Chuy,UY,-33.6971,-53.4616,70.63,47,7,10.22,clear sky
92,Katsuura,JP,35.1333,140.3,56.08,85,50,6.02,scattered clouds
93,Saint-Philippe,RE,-21.3585,55.7679,79.21,89,75,13.62,moderate rain
94,Luchenza,MW,-16.0069,35.3095,67.8,99,100,6.96,moderate rain
95,Hobart,AU,-42.8794,147.3294,55.26,92,7,6.91,clear sky
96,Qasigiannguit,GL,68.8193,-51.1922,7.05,93,100,2.64,overcast clouds
97,Qaanaaq,GL,77.484,-69.3632,-11.24,71,3,3.22,clear sky
98,Yellowknife,CA,62.456,-114.3525,4.41,82,100,8.01,overcast clouds
99,Tautira,PF,-17.7333,-149.15,80.4,74,42,9.57,scattered clouds
100,Te Anau,NZ,-45.4167,167.7167,45.9,92,8,1.34,clear sky
101,Ende,ID,-8.8432,121.6623,78.42,90,100,1.86,overcast clouds
102,Broome,US,42.2506,-75.833,23.2,74,100,19.57,mist
103,Adrar,MR,20.5022,-10.0711,81.95,7,0,11.54,clear sky
104,Hermanus,ZA,-34.4187,19.2345,66.79,88,10,17.96,clear sky
105,Ewa Beach,US,21.3156,-158.0072,76.69,73,75,10.0,broken clouds
106,Lidkoping,SE,58.5052,13.1577,42.82,67,20,6.53,few clouds
107,Khatanga,RU,71.9667,102.5,-24.0,100,98,5.91,overcast clouds
108,Itarema,BR,-2.9248,-39.9167,82.81,66,99,5.44,overcast clouds
109,Baykit,RU,61.67,96.37,-19.25,99,93,3.18,overcast clouds
110,Gladstone,AU,-23.85,151.25,71.53,68,36,6.91,scattered clouds
111,Nome,US,64.5011,-165.4064,8.4,66,0,8.88,clear sky
112,Karaton,ID,-6.3424,106.1045,74.46,93,100,3.09,overcast clouds
113,Karpathos,GR,35.507,27.2132,44.56,45,20,13.8,few clouds
114,Port Macquarie,AU,-31.4333,152.9167,60.89,86,75,4.94,broken clouds
115,Zhangye,CN,38.9342,100.4517,50.45,22,50,8.52,scattered clouds
116,Acajutla,SV,13.5928,-89.8275,84.52,59,37,10.83,scattered clouds
117,Komsomolskiy,UZ,40.4272,71.7189,52.52,87,75,0.0,mist
118,Luderitz,NA,-26.6481,15.1594,67.15,85,51,9.04,broken clouds
119,Provideniya,RU,64.3833,-173.3,13.01,66,0,11.32,clear sky
