City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
71,Bubaque,GW,76.53,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
72,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
73,Maun,BW,78.04,overcast clouds,-19.9833,23.4167,Enviro Villa
74,Phalaborwa,ZA,76.28,overcast clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
75,Srandakan,ID,77.67,overcast clouds,-7.9386,110.2506,Puri Brata
76,San Policarpo,PH,79.2,overcast clouds,12.1791,125.5072,Agapita M. Nicart
77,Orito,CO,79.2,light rain,0.6766,-76.8771,Mayju
78,Manokwari,ID,78.66,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
79,Bac Lieu,VN,79.07,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
80,Tay Ninh,VN,79.65,overcast clouds,11.3,106.1,Thanh Tuyền Hotel
81,Rajampet,IN,75.25,clear sky,14.1833,79.1667,Maruthi Prasanna
82,Antalaha,MG,75.47,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
83,Yarada,IN,75.52,mist,17.65,83.2667,Yarada Jungle Beach Resorts
84,Mercedes,AR,76.64,clear sky,-34.6515,-59.4307,Posada del Inti Centro
