City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mehamn,NO,71.0357,27.8492,26.94,91,88,5.77,overcast clouds
80,Leningradskiy,RU,69.3833,178.4167,-1.8,87,8,5.75,clear sky
81,Deputatskiy,RU,69.3,139.9,-19.16,100,100,1.3,overcast clouds
82,Upernavik,GL,72.7868,-56.1549,-10.39,94,100,11.79,overcast clouds
83,Sitka,US,57.0531,-135.33,42.69,75,75,0.0,broken clouds
84,Albany,US,42.6001,-73.9662,24.22,85,100,8.99,overcast clouds
85,Saint George,US,37.1041,-113.5841,62.44,20,0,5.75,clear sky
86,Hobart,AU,-42.8794,147.3294,53.46,92,20,8.05,few clouds
87,Baoro,CF,5.6667,15.9667,72.57,62,11,3.33,few clouds
88,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,74,20,5.75,few clouds
89,Bratsk,RU,56.1325,101.6142,-6.66,100,93,4.03,overcast clouds
90,Hermanus,ZA,-34.4187,19.2345,65.8,85,17,15.12,few clouds
91,Cabo San Lucas,MX,22.8909,-109.9124,79.61,46,0,8.01,clear sky
92,Pevek,RU,69.7008,170.3133,-11.92,100,100,2.19,overcast clouds
93,New Norfolk,AU,-42.7826,147.0587,53.1,79,7,2.91,clear sky
94,Severo-Kurilsk,RU,50.6789,156.125,29.89,88,92,5.86,overcast clouds
95,Clyde River,CA,70.4692,-68.5914,-19.97,76,20,0.0,few clouds
96,Tazovskiy,RU,67.4667,78.7,-13.65,100,52,10.38,broken clouds
97,Peiting,DE,47.8,10.9333,37.71,52,15,3.44,few clouds
98,Boa Vista,BR,2.8197,-60.6733,93.18,38,20,9.22,few clouds
99,Polangi,PH,11.5265,124.9212,75.16,95,32,3.8,scattered clouds
100,Kiruna,SE,67.8557,20.2251,11.43,97,61,2.08,broken clouds
101,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,40,9.22,light rain
102,Flin Flon,CA,54.7682,-101.865,8.44,66,100,5.75,overcast clouds
103,Muyezerskiy,RU,63.9333,31.65,32.86,90,100,7.16,overcast clouds
104,Yangambi,CD,0.8102,24.4336,71.04,89,100,1.86,overcast clouds
105,Te Anau,NZ,-45.4167,167.7167,53.55,72,9,0.63,clear sky
106,Marang,MY,5.2056,103.2059,78.71,78,100,4.45,overcast clouds
107,Kitimat,CA,54.0524,-128.6534,41.38,95,100,2.21,overcast clouds
108,Cherskiy,RU,68.75,161.3,-11.49,100,100,4.14,overcast clouds
109,Saskylakh,RU,71.9167,114.0833,-22.4,99,98,2.64,overcast clouds
110,Kamina,CD,-8.7386,24.9906,62.42,98,100,4.45,overcast clouds
